[contextual, contextual-1-2a-dist, J,N,I&RA&4]<MYSEP>1.5950644609802607E-6
[contextual, contextual-1-2a-dist, D,J,.&RA&10]<MYSEP>5.617329433416389E-6
[contextual, contextual-1-2a-dist, J,N,I&RA&1]<MYSEP>-1.6893874985790788E-5
[contextual, contextual-1-2a-dist, D,N,.&LA&2]<MYSEP>-0.011638398623535455
[contextual, contextual-1-2a-dist, C,D,I&LA&5]<MYSEP>1.0352331784242768E-6
[contextual, contextual-1-2a-dist, N,C,V&LA&3]<MYSEP>-0.020585797339317924
[contextual, contextual-1-2a-dist, C,D,I&LA&3]<MYSEP>3.300706139045156E-7
[contextual, contextual-1-2a-dist, C,D,V&LA&2]<MYSEP>-0.0024873116488783576
[contextual, contextual-1-2a-dist, C,D,V&RA&2]<MYSEP>-2.1299279591920207E-6
[contextual, contextual-1-2a-dist, R,N,D&LA&1]<MYSEP>-0.0015480287067160957
[contextual, contextual-1-2a-dist, J,N,V&RA&0]<MYSEP>-0.00467041154122879
[contextual, contextual-1-2a-dist, R,N,D&LA&5]<MYSEP>-1.9080753797248708E-5
[contextual, contextual-1-2a-dist, N,C,D&RA&0]<MYSEP>-0.024336818324931696
[contextual, contextual-1-2a-dist, N,C,D&RA&5]<MYSEP>1.6160186037623442E-6
[contextual, contextual-1-2a-dist, I,D,N&RA&5]<MYSEP>-6.867012791987899E-5
[contextual, contextual-1-2a-dist, N,V,N&RA&2]<MYSEP>-0.019567183035564432
[contextual, contextual-1-2a-dist, J,N,I&LA&4]<MYSEP>-9.389901748126739E-7
[contextual, contextual-1-2a-dist, N,V,N&RA&5]<MYSEP>-0.018456136001726804
[contextual, contextual-1-2a-dist, STR,R,D&RA&10]<MYSEP>-3.0345876076441794E-5
[contextual, contextual-1-2a-dist, STR,R,V&RA&5]<MYSEP>0.01726619668283392
[contextual, contextual-1-2a-dist, R,N,C&LA&10]<MYSEP>-3.372244992983195E-6
[contextual, contextual-1-2a-dist, C,D,I&RA&5]<MYSEP>-6.998490258039883E-7
[contextual, contextual-1-2a-dist, D,J,D&LA&5]<MYSEP>3.127652307844047E-6
[contextual, contextual-1-2a-dist, J,N,I&LA&1]<MYSEP>6.667135031077261E-6
[contextual, contextual-1-2a-dist, C,D,I&RA&3]<MYSEP>6.233563090611122E-6
[contextual, contextual-1-2a-dist, I,D,N&RA&2]<MYSEP>-9.872843629562508E-5
[contextual, contextual-1-2a-dist, N,C,V&RA&3]<MYSEP>-0.002255021578510338
[contextual, contextual-1-2a-dist, I,D,N&RA&3]<MYSEP>-1.4827965748491132E-4
[contextual, contextual-1-2a-dist, I,D,N&RA&0]<MYSEP>-0.015154602039777325
[contextual, contextual-1-2a-dist, D,N,.&RA&5]<MYSEP>-0.006030714342278207
[contextual, contextual-1-2a-dist, STR,R,.&RA&10]<MYSEP>-0.006585592031747071
[contextual, contextual-1-2a-dist, D,N,.&RA&2]<MYSEP>-0.006975425129194983
[contextual, contextual-1-2a-dist, N,V,C&RA&5]<MYSEP>-0.01106990738062347
[contextual, contextual-1-2a-dist, J,N,N&LA&3]<MYSEP>4.199343658069976E-6
[contextual, contextual-1-2a-dist, D,J,D&LA&3]<MYSEP>-1.9133310122110597E-7
[contextual, contextual-1-2a-dist, J,N,N&LA&5]<MYSEP>8.833298768112547E-6
[contextual, contextual-1-2a-dist, D,N,D&LA&1]<MYSEP>-7.434891584719843E-4
[contextual, contextual-1-2a-dist, N,C,D&LA&0]<MYSEP>-5.522387181299346E-4
[contextual, contextual-1-2a-dist, N,C,D&LA&5]<MYSEP>4.6522578551990955E-6
[contextual, contextual-1-2a-dist, N,C,N&LA&10]<MYSEP>9.538728031355532E-7
[contextual, contextual-1-2a-dist, N,V,.&LA&5]<MYSEP>-0.0031138063900863055
[contextual, contextual-1-2a-dist, R,N,D&RA&5]<MYSEP>5.2224000136455375E-6
[contextual, contextual-1-2a-dist, R,N,N&RA&10]<MYSEP>9.999369146250833E-6
[contextual, contextual-1-2a-dist, I,D,N&LA&0]<MYSEP>0.06550105037983621
[contextual, contextual-1-2a-dist, R,N,D&RA&1]<MYSEP>-0.0028203140624829814
[contextual, contextual-1-2a-dist, I,D,N&LA&5]<MYSEP>-6.19734367615765E-5
[contextual, contextual-1-2a-dist, I,D,N&LA&3]<MYSEP>-1.8837275724028466E-4
[contextual, contextual-1-2a-dist, D,N,.&LA&5]<MYSEP>-0.012823387898579362
[contextual, contextual-1-2a-dist, I,D,N&LA&2]<MYSEP>-5.974844070391056E-5
[contextual, contextual-1-2a-dist, R,N,J&RA&2]<MYSEP>-2.4246328149618487E-4
[contextual, contextual-1-2a-dist, N,C,.&RA&1]<MYSEP>-0.008345206673682755
[contextual, contextual-1-2a-dist, I,D,C&LA&1]<MYSEP>-1.5559371802001504E-4
[contextual, contextual-1-2a-dist, V,I,D&RA&3]<MYSEP>-0.0025513429016066785
[contextual, contextual-1-2a-dist, V,I,D&RA&0]<MYSEP>-0.023255597904376753
[contextual, contextual-1-2a-dist, D,J,C&RA&5]<MYSEP>6.0894842526405525E-6
[contextual, contextual-1-2a-dist, STR,R,N&RA&10]<MYSEP>-3.212167560081564E-4
[contextual, contextual-1-2a-dist, N,C,I&RA&5]<MYSEP>-3.0759718979181107E-6
[contextual, contextual-1-2a-dist, N,V,C&LA&5]<MYSEP>-1.1268301277427737E-5
[contextual, contextual-1-2a-dist, D,N,N&RA&4]<MYSEP>-0.010480300520552181
[contextual, contextual-1-2a-dist, N,C,I&RA&4]<MYSEP>-1.538972703884583E-5
[contextual, contextual-1-2a-dist, D,N,N&RA&1]<MYSEP>-0.015166702965705534
[contextual, contextual-1-2a-dist, STR,R,D&RA&5]<MYSEP>-8.902067205140606E-5
[contextual, contextual-1-2a-dist, D,N,N&RA&2]<MYSEP>-0.012986781075090848
[contextual, contextual-1-2a-dist, V,I,C&RA&5]<MYSEP>-0.00916806433170706
[contextual, contextual-1-2a-dist, STR,R,D&RA&2]<MYSEP>-9.888602961238286E-5
[contextual, contextual-1-2a-dist, I,D,D&LA&2]<MYSEP>-6.466215344590241E-5
[contextual, contextual-1-2a-dist, I,D,C&LA&4]<MYSEP>-7.11161359933905E-5
[contextual, contextual-1-2a-dist, D,J,D&RA&3]<MYSEP>1.3041063470723902E-6
[contextual, contextual-1-2a-dist, D,J,D&RA&5]<MYSEP>1.07561207285401E-7
[contextual, contextual-1-2a-dist, V,I,N&RA&4]<MYSEP>-0.021180534467336337
[contextual, contextual-1-2a-dist, V,I,N&RA&5]<MYSEP>-0.00951128733646605
[contextual, contextual-1-2a-dist, V,I,N&RA&1]<MYSEP>0.04550135846711997
[contextual, contextual-1-2a-dist, R,N,J&LA&2]<MYSEP>-4.708326209517728E-5
[contextual, contextual-1-2a-dist, R,N,C&RA&10]<MYSEP>1.7703122644315174E-6
[contextual, contextual-1-2a-dist, C,D,D&LA&4]<MYSEP>5.470843841810223E-6
[contextual, contextual-1-2a-dist, R,N,I&RA&5]<MYSEP>-2.1557973213975277E-5
[contextual, contextual-1-2a-dist, C,D,D&LA&5]<MYSEP>3.475534596355539E-7
[contextual, contextual-1-2a-dist, R,N,V&LA&4]<MYSEP>0.0394135004945308
[contextual, contextual-1-2a-dist, N,I,N&LA&1]<MYSEP>-0.0031952023073458283
[contextual, contextual-1-2a-dist, N,I,.&LA&4]<MYSEP>-0.009748592781110057
[contextual, contextual-1-2a-dist, N,I,N&LA&3]<MYSEP>-4.092586243439483E-4
[contextual, contextual-1-2a-dist, N,V,.&RA&5]<MYSEP>0.044645561747017
[contextual, contextual-1-2a-dist, C,N,.&RA&0]<MYSEP>-0.009903708127440182
[contextual, contextual-1-2a-dist, R,N,N&RA&5]<MYSEP>-9.405338328287765E-7
[contextual, contextual-1-2a-dist, I,D,C&RA&1]<MYSEP>-2.1605824192888004E-4
[contextual, contextual-1-2a-dist, V,I,D&LA&0]<MYSEP>-8.891854654884974E-4
[contextual, contextual-1-2a-dist, R,N,N&RA&3]<MYSEP>-0.016474779976156016
[contextual, contextual-1-2a-dist, I,D,C&RA&4]<MYSEP>-8.478681800787384E-5
[contextual, contextual-1-2a-dist, V,I,D&LA&3]<MYSEP>-0.0010167970107518361
[contextual, contextual-1-2a-dist, I,D,I&RA&1]<MYSEP>-2.6822990002298483E-4
[contextual, contextual-1-2a-dist, V,I,I&LA&2]<MYSEP>-0.0012381719284586194
[contextual, contextual-1-2a-dist, N,C,I&LA&4]<MYSEP>-1.1264681602411188E-6
[contextual, contextual-1-2a-dist, N,C,C&LA&10]<MYSEP>1.8595578285425998E-6
[contextual, contextual-1-2a-dist, D,N,N&LA&2]<MYSEP>-6.058496324557348E-4
[contextual, contextual-1-2a-dist, N,C,I&LA&5]<MYSEP>4.382630622602958E-6
[contextual, contextual-1-2a-dist, R,N,N&LA&10]<MYSEP>-9.586471938887044E-7
[contextual, contextual-1-2a-dist, D,N,N&LA&1]<MYSEP>-3.324943621319797E-4
[contextual, contextual-1-2a-dist, J,N,.&RA&5]<MYSEP>-6.977538295896306E-5
[contextual, contextual-1-2a-dist, N,V,N&LA&2]<MYSEP>-6.600254917607023E-5
[contextual, contextual-1-2a-dist, STR,R,C&RA&1]<MYSEP>-0.006563669555827339
[contextual, contextual-1-2a-dist, C,D,J&RA&0]<MYSEP>-0.026741514882059066
[contextual, contextual-1-2a-dist, V,I,C&LA&5]<MYSEP>-8.717660111225226E-4
[contextual, contextual-1-2a-dist, D,N,N&LA&4]<MYSEP>-3.3924011390480354E-4
[contextual, contextual-1-2a-dist, C,D,D&RA&5]<MYSEP>3.5979867202177283E-6
